movie_id;director
19995;James Cameron
285;Gore Verbinski
206647;Sam Mendes
49026;Christopher Nolan
49529;Andrew Stanton
559;Sam Raimi
38757;Byron Howard
99861;Joss Whedon
767;David Yates
209112;Zack Snyder
1452;Bryan Singer
10764;Marc Forster
58;Gore Verbinski
57201;Gore Verbinski
49521;Zack Snyder
2454;Andrew Adamson
24428;Joss Whedon
1865;Rob Marshall
41154;Barry Sonnenfeld
122917;Peter Jackson
1930;Marc Webb
20662;Ridley Scott
57158;Peter Jackson
2268;Chris Weitz
254;Peter Jackson
597;James Cameron
271110;Anthony Russo
44833;Peter Berg
135397;Colin Trevorrow
37724;Sam Mendes
558;Sam Raimi
68721;Shane Black
12155;Tim Burton
36668;Brett Ratner
62211;Dan Scanlon
8373;Michael Bay
91314;Michael Bay
68728;Sam Raimi
102382;Marc Webb
20526;Joseph Kosinski
49013;John Lasseter
44912;Martin Campbell
10193;Lee Unkrich
534;McG
168259;James Wan
72190;Marc Forster
127585;Bryan Singer
54138;J.J. Abrams
81005;Bryan Singer
64682;Baz Luhrmann
9543;Mike Newell
68726;Guillermo del Toro
38356;Michael Bay
217;Steven Spielberg
105864;Peter Sohn
62177;Brenda Chapman
188927;Justin Lin
10681;Andrew Stanton
5174;Brett Ratner
14161;Roland Emmerich
17979;Robert Zemeckis
76757;Lilly Wachowski
258489;David Yates
411;Andrew Adamson
246655;Bryan Singer
155;Christopher Nolan
14160;Pete Docter
15512;Conrad Vernon
1726;Jon Favreau
44826;Martin Scorsese
8487;Barry Sonnenfeld
1735;Rob Cohen
297761;David Ayer
2698;Tom Shadyac
137113;Doug Liman
9804;Kevin Reynolds
14869;Stephen Sommers
150540;Pete Docter
278927;Jon Favreau
10138;Jon Favreau
58595;Rupert Sanders
102651;Robert Stromberg
119450;Matt Reeves
79698;Roland Joffé
64686;Carl Rinsch
100402;Anthony Russo
10192;Mike Mitchell
158852;Brad Bird
177572;Chris Williams
82690;Rich Moore
5255;Robert Zemeckis
47933;Roland Emmerich
10191;Chris Sanders
296;Jonathan Mostow
118340;James Gunn
157336;Christopher Nolan
27205;Christopher Nolan
315011;Hideaki Anno
49051;Peter Jackson
9799;Rob Cohen
4922;David Fincher
49538;Matthew Vaughn
131634;Francis Lawrence
27022;Jon Turteltaub
503;Wolfgang Petersen
241259;James Bobin
810;Chris Miller
68735;Duncan Jones
87101;Alan Taylor
10140;Michael Apted
676;Michael Bay
1858;Michael Bay
1966;Oliver Stone
675;David Yates
674;Mike Newell
8960;Peter Berg
6479;Francis Lawrence
118;Tim Burton
2062;Jan Pinkava
272;Christopher Nolan
10527;Eric Darnell
18360;Shawn Levy
2080;Gavin Hood
605;Lilly Wachowski
109445;Chris Buck
604;Lilly Wachowski
76338;Alan Taylor
76341;George Miller
13448;Ron Howard
10195;Kenneth Branagh
13053;Chris Williams
19585;Hoyt Yeatman
57165;Jonathan Liebesman
62213;Tim Burton
177677;Christopher McQuarrie
7978;Joe Johnston
5559;Steve Hickner
49444;Jennifer Yuh Nelson
10196;M. Night Shyamalan
956;J.J. Abrams
117251;Roland Emmerich
50321;Simon Wells
11619;David Bowers
266647;Joe Wright
82703;Rob Minkoff
652;Wolfgang Petersen
80321;Conrad Vernon
36669;Lee Tamahori
43074;Paul Feig
95;Michael Bay
608;Barry Sonnenfeld
2310;Robert Zemeckis
140300;Jennifer Yuh Nelson
56292;Brad Bird
81188;Peter Ramsey
7552;Dean Parisot
616;Edward Zwick
147441;Ridley Scott
13475;J.J. Abrams
557;Sam Raimi
82702;Dean DeBlois
205584;Alex Proyas
10048;Rob Cohen
13183;Zack Snyder
944;Richard Donner
1927;Ang Lee
72559;Jon M. Chu
7364;Breck Eisner
2114;Hironobu Sakaguchi
1771;Joe Johnston
36643;Michael Apted
8619;Peter Weir
50620;Bill Condon
65759;George Miller
1724;Louis Leterrier
267935;Steven Spielberg
281957;Alejandro González Iñárritu
77950;David Soren
44896;Gore Verbinski
270946;Eric Darnell
2503;Paul Greengrass
9502;Mark Osborne
102899;Peyton Reed
101299;Francis Lawrence
228161;Tim Johnson
74;Steven Spielberg
8961;Michael Bay
417859;Chris Miller
27576;Phillip Noyce
86834;Darren Aronofsky
17578;Steven Spielberg
673;Alfonso Cuarón
6972;Baz Luhrmann
82700;M. Night Shyamalan
10567;Ralph Zondag
181533;Shawn Levy
38055;Tom McGrath
671;Chris Columbus
49524;Robert Schwentke
22;Gore Verbinski
131631;Francis Lawrence
591;Ron Howard
172385;Carlos Saldanha
36658;Bryan Singer
51497;Justin Lin
58574;Guy Ritchie
18823;Louis Leterrier
861;Paul Verhoeven
1911;John McTiernan
49040;Tony Gilroy
415;Joel Schumacher
8871;Ron Howard
435;Roland Emmerich
955;John Woo
2133;Wolfgang Petersen
1979;Tim Story
87827;Ang Lee
1250;Mark Steven Johnson
324668;Paul Greengrass
9471;McG
70981;Ridley Scott
10996;Rob Minkoff
68724;Neill Blomkamp
2789;David Twohy
97020;José Padilha
7459;Lilly Wachowski
42888;James L. Brooks
37834;James Mangold
75612;Joseph Kosinski
1895;George Lucas
1894;George Lucas
585;Pete Docter
76170;James Mangold
1893;George Lucas
49519;Chris Sanders
2395;Thomas Langmann
12100;John Woo
290595;Cedric Nicolas-Troyan
98566;Jonathan Liebesman
49047;Alfonso Cuarón
9619;Roger Donaldson
308531;Dave Green
166424;Josh Trank
1593;Shawn Levy
254128;Brad Peyton
714;Roger Spottiswoode
2024;Roland Emmerich
163;Steven Soderbergh
787;Doug Liman
262500;Robert Schwentke
2567;Martin Scorsese
38745;Rob Letterman
40805;Michel Gondry
53182;Noam Murro
41513;Raja Gosnell
13700;Will Finn
262504;Robert Schwentke
39254;Shawn Levy
77931;Raja Gosnell
1639;Jan de Bont
80274;Gavin Hood
1571;Len Wiseman
120;Peter Jackson
10204;Frank Coraci
8489;Michael Mann
10588;Bo Welch
2048;Alex Proyas
1495;Ridley Scott
10137;Rob Minkoff
10198;Ron Clements
286217;Ridley Scott
1635;Michael Bay
24113;Peter Chelsom
9679;Dominic Sena
98;Ridley Scott
180;Steven Spielberg
672;Chris Columbus
36557;Martin Campbell
869;Tim Burton
280;James Cameron
11322;Michael Mann
4982;Ridley Scott
36955;James Cameron
18487;Tony Scott
39451;Paul Weitz
27581;Adam McKay
9268;Chuck Russell
68718;Quentin Tarantino
10545;Gary Trousdale
11688;Mark Dindal
76163;Simon West
2059;Jon Turteltaub
2486;Stefen Fangmeier
16523;Spike Jonze
116711;Chris Wedge
37710;Florian Henckel von Donnersmarck
9946;Peter Hyams
1372;Edward Zwick
106646;Martin Scorsese
414;Joel Schumacher
563;Paul Verhoeven
83542;Tom Tykwer
41216;Zack Snyder
314;Pitof
184315;Brett Ratner
9016;Ron Clements
18162;Brad Silberling
138103;Patrick Hughes
257088;Ericson Core
10214;Lawrence Guterman
205775;Ron Howard
11692;Ron Underwood
22972;Paul Greengrass
227973;Steve Martino
29193;David Mamet
1734;Stephen Sommers
3131;Martin Scorsese
76758;Zhang Yimou
9408;Ash Brannon
9890;Frank Oz
855;Ridley Scott
77953;Jay Roach
18;Luc Besson
37786;Michael Patrick King
10501;Don Michael Paul
57800;Steve Martino
150689;Kenneth Branagh
7980;Peter Jackson
12;Andrew Stanton
122;Peter Jackson
121;Peter Jackson
68737;Sergei Bodrov
1995;Simon West
157353;Wally Pfister
331;Joe Johnston
61791;Rupert Wyatt
8204;Mark Waters
47964;John Moore
10733;John Lee Hancock
9806;Brad Bird
1408;Renny Harlin
32657;Chris Columbus
607;Barry Sonnenfeld
863;John Lasseter
44048;Tony Scott
5175;Brett Ratner
2655;Robert Zemeckis
22794;Phil Lord
8355;Carlos Saldanha
116745;Ben Stiller
4327;McG
1422;Martin Scorsese
10674;Tony Bancroft
7446;Ben Stiller
65754;David Fincher
1572;John McTiernan
10528;Guy Ritchie
271969;Timur Bekmambetov
10865;Gary Trousdale
258509;Walt Becker
2253;Bryan Singer
10661;Dennis Dugan
257344;Chris Columbus
644;Steven Spielberg
10756;Rob Minkoff
686;Robert Zemeckis
9383;Paul Verhoeven
179;Sydney Pollack
76285;Thor Freudenthal
1996;Jan de Bont
291805;Jon M. Chu
10003;Phillip Noyce
1535;Tony Scott
2067;Brian De Palma
46195;Carlos Saldanha
2277;Chris Columbus
10357;Mick Jackson
4477;Alan J. Pakula
8665;Kathryn Bigelow
9387;John Milius
921;Ron Howard
49852;Andrei Konchalovsky
4464;Gary Ross
664;Jan de Bont
8358;Robert Zemeckis
9836;George Miller
2502;Paul Greengrass
9772;Wolfgang Petersen
161;Steven Soderbergh
52451;Paul W.S. Anderson
